household_key,shop_trip_count,product_count,total_spent,total_size,age,income,household_count,per_capita_size,per_capita_cost
2013,64,578,1584.66,11690.72,22,30,1,11690.72,1584.66
2020,200,2180,7750.27,57980.88,40,112.5,5,11596.176,1550.054
2024,73,1165,4059.98,28194.24,30,137.5,2,14097.12,2029.99
2030,81,877,2550.11,19449.67,40,87.5,1,19449.67,2550.11
2041,124,1270,5251.62,25969.02,40,42.5,2,12984.51,2625.81
2053,129,1131,2944.26,29375.35,50,20,2,14687.675,1472.13
2058,132,1464,4292.85,32305.24,30,137.5,2,16152.62,2146.425
2063,75,1077,3496.38,27210.69,60,87.5,2,13605.345,1748.19
2064,203,1057,3307.05,23860.57,22,62.5,1,23860.57,3307.05
2068,92,1339,2906.59,33400.04,60,62.5,2,16700.02,1453.295
2069,75,711,2448.43,14836.29,40,20,1,14836.29,2448.43
208,113,1510,5228.05,34991.81,50,62.5,2,17495.905,2614.025
2082,144,1550,5441.22,33998.29,50,10,3,11332.76333,1813.74
2084,100,777,2241.41,20127.55,60,137.5,2,10063.775,1120.705
209,111,1523,6169.95,33272.45,50,30,3,11090.81667,2056.65
2094,72,979,3387.59,22488.39,50,62.5,2,11244.195,1693.795
2100,69,1392,4701.65,34511.06,70,42.5,2,17255.53,2350.825
211,105,1165,3419.42,29196.89,70,42.5,2,14598.445,1709.71
2115,174,3443,9787.18,78002.96,40,162.5,5,15600.592,1957.436
2116,155,3849,11178.64,93156.23,40,87.5,5,18631.246,2235.728
212,87,1047,2641.54,23868.04,40,10,1,23868.04,2641.54
2121,89,1392,4272.5,31939.58,60,42.5,2,15969.79,2136.25
2123,58,1174,4008.42,26854.59,50,87.5,2,13427.295,2004.21
2124,143,2707,6272.39,62958.33,30,62.5,4,15739.5825,1568.0975
2129,107,2221,6905.93,47839.06,30,42.5,2,23919.53,3452.965
2133,112,1595,4866.21,38656.16,60,112.5,2,19328.08,2433.105
214,85,1106,2970.31,23383.2,60,10,2,11691.6,1485.155
2147,72,2534,6595.08,57797.55,30,87.5,3,19265.85,2198.36
2148,118,1693,4593.97,47153.26,60,42.5,4,11788.315,1148.4925
2154,100,660,2403.95,21223.63,50,42.5,2,10611.815,1201.975
2156,78,1978,5003.81,44574.6,50,62.5,2,22287.3,2501.905
2158,74,1072,2695.33,23335.35,30,62.5,1,23335.35,2695.33
216,91,487,1838.51,11510.81,40,62.5,1,11510.81,1838.51
218,108,1661,6280.94,34950.78,50,20,2,17475.39,3140.47
2183,124,913,3583.82,23273.98,70,30,2,11636.99,1791.91
2184,138,1031,3233.53,23469.6,30,62.5,1,23469.6,3233.53
2185,82,1848,6138.61,45527.77,30,137.5,4,11381.9425,1534.6525
2188,110,1135,3595.94,30609.47,70,42.5,2,15304.735,1797.97
2190,146,2573,8577.78,63266.94,40,62.5,4,15816.735,2144.445
2199,114,2546,6368.7,59296.44,22,62.5,3,19765.48,2122.9
22,107,1659,6032.38,38351.7,50,87.5,2,19175.85,3016.19
2231,75,1422,3812.95,35247.66,40,225,2,17623.83,1906.475
2234,160,1858,7840.44,45293.35,70,10,2,22646.675,3920.22
2250,50,651,2715.73,16094.4,40,87.5,1,16094.4,2715.73
2252,247,2683,9009.63,61143.44,50,62.5,4,15285.86,2252.4075
2269,193,1219,4537.22,30224.12,60,42.5,2,15112.06,2268.61
2280,185,3028,10597.56,72799.49,40,20,3,24266.49667,3532.52
2282,77,446,941.92,13176.04,60,187.5,1,13176.04,941.92
2294,126,3229,10579.05,73227.29,50,30,4,18306.8225,2644.7625
2298,81,1052,3737.06,23107.1,70,62.5,2,11553.55,1868.53
2300,101,1563,4152.55,34476.82,50,62.5,2,17238.41,2076.275
2307,145,2081,5669.22,40006.54,50,87.5,3,13335.51333,1889.74
2314,74,1975,5836.55,37627.36,50,137.5,2,18813.68,2918.275
2317,126,5125,16537.06,113982.56,40,62.5,5,22796.512,3307.412
235,153,2991,11346.77,61518.68,40,250,5,12303.736,2269.354
2361,84,1186,4177.47,22341.02,30,42.5,2,11170.51,2088.735
2367,124,1630,5289.93,39608.35,50,10,2,19804.175,2644.965
2370,125,1886,6364.26,37931.1,30,10,2,18965.55,3182.13
2374,75,1602,6768.01,35507.46,50,162.5,2,17753.73,3384.005
2376,108,841,2900.51,17569.83,50,42.5,1,17569.83,2900.51
2393,53,807,3319.85,20860.61,40,87.5,1,20860.61,3319.85
2405,97,1048,3115.88,21254.89,30,20,1,21254.89,3115.88
2407,137,1968,7644.35,43349.25,50,112.5,2,21674.625,3822.175
2420,74,1534,5225.26,32356.63,50,20,3,10785.54333,1741.753333
2421,78,3338,10359.63,82883.84,50,162.5,5,16576.768,2071.926
2426,97,789,2751.59,18611.13,22,10,1,18611.13,2751.59
2427,245,3045,9732.97,64984.63,40,62.5,3,21661.54333,3244.323333
2446,118,1334,4973.5,27832.39,40,137.5,2,13916.195,2486.75
2447,117,1550,5701.64,37162.19,40,30,2,18581.095,2850.82
2449,262,4099,11938.75,95996.58,40,187.5,5,19199.316,2387.75
2453,93,1041,3049.76,24296.7,50,62.5,1,24296.7,3049.76
2455,97,914,4414.14,22077.21,50,30,2,11038.605,2207.07
248,48,2004,7497.58,47236,40,137.5,4,11809,1874.395
2483,82,505,1438.78,13057.31,50,87.5,1,13057.31,1438.78
281,69,636,2319.58,18168.72,40,62.5,1,18168.72,2319.58
282,67,1063,3272.86,22630.47,50,42.5,1,22630.47,3272.86
283,67,1392,4319.16,31350.31,30,62.5,2,15675.155,2159.58
290,259,1877,4794.46,39848.81,30,42.5,2,19924.405,2397.23
294,230,2496,7303.16,70173.71,30,62.5,4,17543.4275,1825.79
300,94,1816,7064.5,34895.8,60,10,2,17447.9,3532.25
301,65,2140,7162.43,45702.72,40,42.5,4,11425.68,1790.6075
306,140,2176,5946.25,45469.88,22,42.5,4,11367.47,1486.5625
317,57,1658,6246.64,35742.76,50,87.5,2,17871.38,3123.32
321,97,1740,7412.94,43095.93,50,112.5,2,21547.965,3706.47
334,275,1922,5628.61,44100.86,50,10,2,22050.43,2814.305
346,121,1365,4330.15,34499.11,70,62.5,2,17249.555,2165.075
353,111,927,3608.84,21904.82,50,162.5,2,10952.41,1804.42
354,137,2711,7932.71,57995.87,30,42.5,5,11599.174,1586.542
362,76,1006,2536.18,21946.9,70,62.5,1,21946.9,2536.18
370,98,1105,2934.45,21406.32,70,62.5,2,10703.16,1467.225
377,125,1514,4446.25,33886.8,50,62.5,2,16943.4,2223.125
378,257,1155,2560.54,26709.03,60,62.5,2,13354.515,1280.27
381,71,1073,2759.14,25013.97,30,42.5,2,12506.985,1379.57
39,57,2074,6611.35,43691.81,40,137.5,2,21845.905,3305.675
390,80,494,1540.22,10820.08,50,30,1,10820.08,1540.22
392,102,2543,9080.09,67628.23,40,250,3,22542.74333,3026.696667
404,195,1485,3731.32,37694.44,30,30,2,18847.22,1865.66
409,106,1684,4786.12,37517.95,22,30,2,18758.975,2393.06
411,127,1162,5882.93,28044.74,40,10,2,14022.37,2941.465
412,94,1223,2665.52,33877.11,70,20,2,16938.555,1332.76
417,77,1137,3251.97,28648.87,50,42.5,2,14324.435,1625.985
418,155,1466,4385.64,34902.26,40,42.5,3,11634.08667,1461.88
42,85,983,2675.24,17071.19,70,62.5,1,17071.19,2675.24
428,89,1640,4511.57,38963.22,22,62.5,2,19481.61,2255.785
432,192,824,2385.4,16962.52,22,30,1,16962.52,2385.4
438,59,911,3149.05,30623.76,40,62.5,2,15311.88,1574.525
441,70,888,2654.65,18217.64,50,62.5,1,18217.64,2654.65
443,97,824,2922.12,20501.9,50,30,2,10250.95,1461.06
456,76,1256,4335.15,29554.88,22,62.5,2,14777.44,2167.575
460,88,354,747.35,10050.81,70,30,1,10050.81,747.35
462,94,674,1969.15,14280.25,70,112.5,1,14280.25,1969.15
464,152,1383,4097.69,29718.39,70,62.5,2,14859.195,2048.845
473,48,887,3220.11,19578.91,50,62.5,1,19578.91,3220.11
483,87,689,2836.94,13670.22,50,42.5,1,13670.22,2836.94
49,81,1237,4752.28,26465.8,40,42.5,2,13232.9,2376.14
491,78,866,3033.77,20492.58,50,87.5,2,10246.29,1516.885
492,78,1654,5426.77,34187.94,50,62.5,2,17093.97,2713.385
510,246,3098,7558.43,67380.36,40,250,3,22460.12,2519.476667
513,148,1925,10526.98,41818.05,50,87.5,2,20909.025,5263.49
518,138,1229,4153.55,25127.12,50,87.5,2,12563.56,2076.775
52,99,1396,4097.66,33404.46,50,62.5,2,16702.23,2048.83
526,130,1081,3195.31,23428.11,50,62.5,1,23428.11,3195.31
534,363,868,1193.38,18912.85,50,42.5,1,18912.85,1193.38
540,81,718,2465.81,20565.01,30,62.5,1,20565.01,2465.81
542,97,914,2575.76,20484.94,30,42.5,1,20484.94,2575.76
548,80,1455,4327,33846.36,40,87.5,2,16923.18,2163.5
553,230,2163,5982.04,44308.19,50,87.5,2,22154.095,2991.02
56,180,1886,5786.14,41264.58,60,112.5,4,10316.145,1446.535
567,170,771,2111.6,18047.3,22,30,1,18047.3,2111.6
569,92,1599,5445.76,40013.1,40,250,3,13337.7,1815.253333
57,139,757,1946.34,26263.47,50,42.5,2,13131.735,973.17
574,102,2370,6912.89,53538.44,40,87.5,3,17846.14667,2304.296667
576,137,1098,3560.49,24958.92,60,42.5,2,12479.46,1780.245
578,82,612,2067.28,12626.59,30,62.5,1,12626.59,2067.28
58,174,2837,7941.01,71316.81,30,162.5,4,17829.2025,1985.2525
583,113,741,2506,17563.61,40,20,1,17563.61,2506
586,158,1765,5107.28,45357.47,22,42.5,3,15119.15667,1702.426667
588,167,2699,6914.08,62353.78,40,62.5,5,12470.756,1382.816
597,77,1435,3768.98,35173.37,22,10,2,17586.685,1884.49
598,159,922,2896.69,21384.75,40,30,1,21384.75,2896.69
605,90,1656,4286.98,40464.14,30,87.5,4,10116.035,1071.745
606,83,1030,3022.92,21183,50,42.5,1,21183,3022.92
609,125,642,1389.91,16989.7,50,62.5,1,16989.7,1389.91
621,125,710,2771.01,16226.04,50,42.5,1,16226.04,2771.01
622,99,537,1611.07,10870.21,40,20,1,10870.21,1611.07
630,155,1885,9579.94,48576.67,40,42.5,3,16192.22333,3193.313333
631,356,2978,7816.46,67803.92,70,112.5,3,22601.30667,2605.486667
644,179,1359,3071.39,29608.81,70,87.5,2,14804.405,1535.695
660,131,1819,7098.74,40623.48,60,62.5,2,20311.74,3549.37
67,177,2612,9702.93,57583.33,50,10,5,11516.666,1940.586
670,147,1702,5483.69,36137.35,60,42.5,3,12045.78333,1827.896667
671,84,1007,4455.38,24560.38,40,42.5,1,24560.38,4455.38
672,99,1156,3203.27,22889.83,40,30,2,11444.915,1601.635
675,130,1132,3784.79,27175.15,40,62.5,2,13587.575,1892.395
682,159,1276,3837.14,29968.98,70,137.5,2,14984.49,1918.57
685,144,1368,4432.7,28812.13,40,10,2,14406.065,2216.35
690,181,1120,3227.82,21601.31,70,20,1,21601.31,3227.82
692,98,1045,2474.92,23518.78,70,42.5,1,23518.78,2474.92
693,193,1987,6551.89,42504.35,50,20,2,21252.175,3275.945
695,139,2049,6461.94,48788.82,40,42.5,3,16262.94,2153.98
699,85,1970,7229.66,39400.94,50,62.5,2,19700.47,3614.83
7,55,1030,2938.03,24917.08,50,62.5,2,12458.54,1469.015
706,99,1009,3332.52,21854.77,50,62.5,2,10927.385,1666.26
707,351,4070,15506.86,99584.08,30,112.5,5,19916.816,3101.372
714,265,1505,5328.22,38993.78,60,20,3,12997.92667,1776.073333
715,123,1086,3345.98,24045.47,60,20,2,12022.735,1672.99
722,112,1930,6630.45,46715.07,40,62.5,2,23357.535,3315.225
74,122,972,2488.77,26083.64,70,20,2,13041.82,1244.385
742,291,2434,3758.3,45001.37,40,20,4,11250.3425,939.575
752,85,1030,3650.79,24679.08,40,87.5,2,12339.54,1825.395
755,104,950,3295.6,20721.85,40,62.5,1,20721.85,3295.6
